_id,action,createdAt,daily_additionalComment_value,daily_airDraft_timestamp,daily_airDraft_value,daily_ambientSounds_timestamp,daily_ambientSounds_value,daily_artificialLight_timestamp,daily_artificialLight_value,daily_dayLight_timestamp,daily_dayLight_value,daily_smell_timestamp,daily_smell_value,daily_studentsAdherence_timestamp,daily_studentsAdherence_value,daily_studentsFocused_timestamp,daily_studentsFocused_value,daily_studentsIrritated_timestamp,daily_studentsIrritated_value,daily_studentsMotivated_timestamp,daily_studentsMotivated_value,device,finishedAt,heartbeat,hourly_airQuality_timestamp,hourly_airQuality_value,hourly_humidity_timestamp,hourly_humidity_value,hourly_indoorClimate_timestamp,hourly_indoorClimate_value,hourly_temperature_timestamp,hourly_temperature_value,participant,startedAt,type,updatedAt
6322cb0eda207aecda9c82de,manual,2022-09-15T06:49:50.102Z,,,,,,,,,,,,,,,,,,,,63186aeda505031fc7fc253a,2022-09-15T06:49:48.750Z,6322cb0eda207aecda9c82dd,2022-09-15T06:49:47.740Z,3,2022-09-15T06:49:46.213Z,3,2022-09-15T06:49:33.948Z,3,2022-09-15T06:49:42.395Z,4,6318dea612223a195314b5f5,2022-09-15T06:49:29.905Z,hourly,2022-09-15T06:49:50.102Z
6322cb16da207aecda9c82e0,manual,2022-09-15T06:49:58.760Z,,,,,,,,,,,,,,,,,,,,63186995a505031fc7fc2534,2022-09-15T06:49:57.378Z,6322cb16da207aecda9c82df,2022-09-15T06:49:34.853Z,3,2022-09-15T06:49:31.687Z,2,2022-09-15T06:49:51.322Z,3,2022-09-15T06:49:52.750Z,3,6318dea612223a195314b602,2022-09-15T06:49:23.191Z,hourly,2022-09-15T06:49:58.760Z
6322cb53da207aecda9c82e2,manual,2022-09-15T06:50:59.450Z,,,,,,,,,,,,,,,,,,,,63186aeda505031fc7fc253a,2022-09-15T06:50:58.113Z,6322cb53da207aecda9c82e1,2022-09-15T06:50:53.367Z,3,2022-09-15T06:50:51.704Z,3,2022-09-15T06:50:44.457Z,3,2022-09-15T06:50:50.157Z,3,6318dea712223a195314b60d,2022-09-15T06:50:28.122Z,hourly,2022-09-15T06:50:59.451Z
6322cf82da207aecda9c82e4,manual,2022-09-15T07:08:50.663Z,,,,,,,,,,,,,,,,,,,,63186cd4a505031fc7fc2544,2022-09-15T07:08:48.533Z,6322cf82da207aecda9c82e3,2022-09-15T07:08:47.167Z,4,2022-09-15T07:08:20.101Z,5,2022-09-15T07:08:16.003Z,4,2022-09-15T07:08:18.289Z,5,6318dea712223a195314b617,2022-09-15T07:08:11.694Z,hourly,2022-09-15T07:08:50.663Z
6322d0e8da207aecda9c82e6,manual,2022-09-15T07:14:48.751Z,,,,,,,,,,,,,,,,,,,,631867fca505031fc7fc252e,2022-09-15T07:14:48.170Z,6322d0e8da207aecda9c82e5,2022-09-15T07:14:39.657Z,5,2022-09-15T07:14:14.677Z,5,2022-09-15T07:14:08.789Z,1,2022-09-15T07:14:10.851Z,5,6318dea712223a195314b60c,2022-09-15T07:14:03.435Z,hourly,2022-09-15T07:14:48.751Z
6322d523da207aecda9c82e8,manual,2022-09-15T07:32:51.102Z,,,,,,,,,,,,,,,,,,,,63186f7da505031fc7fc254e,2022-09-15T07:32:49.350Z,6322d523da207aecda9c82e7,2022-09-15T07:32:48.198Z,2,2022-09-15T07:32:45.699Z,2,2022-09-15T07:32:40.766Z,2,2022-09-15T07:32:43.741Z,2,6318dea612223a195314b601,2022-09-15T07:32:36.038Z,hourly,2022-09-15T07:32:51.102Z
6322d5bfda207aecda9c82ea,manual,2022-09-15T07:35:27.622Z,,,,,,,,,,,,,,,,,,,,631867fca505031fc7fc252e,2022-09-15T07:35:27.097Z,6322d5bfda207aecda9c82e9,2022-09-15T07:35:20.350Z,3,2022-09-15T07:35:15.532Z,3,2022-09-15T07:35:07.521Z,2,2022-09-15T07:35:08.068Z,2,6318dea712223a195314b60d,2022-09-15T07:34:56.545Z,hourly,2022-09-15T07:35:27.622Z
6322d8d8da207aecda9c82ec,manual,2022-09-15T07:48:40.895Z,,,,,,,,,,,,,,,,,,,,63186995a505031fc7fc2534,2022-09-15T07:48:39.383Z,6322d8d8da207aecda9c82eb,2022-09-15T07:48:24.673Z,3,2022-09-15T07:48:23.488Z,3,2022-09-15T07:48:15.389Z,4,2022-09-15T07:48:21.240Z,3,6318dea612223a195314b602,2022-09-15T07:48:08.880Z,hourly,2022-09-15T07:48:40.895Z
6322db56da207aecda9c830b,manual,2022-09-15T07:59:18.250Z,,,,,,,,,,,,,,,,,,,,63186f1ca505031fc7fc254a,2022-09-15T07:59:16.966Z,6322db56da207aecda9c830a,2022-09-15T07:59:15.109Z,3,2022-09-15T07:59:12.354Z,1,2022-09-15T07:59:06.259Z,4,2022-09-15T07:59:10.680Z,4,6318dea712223a195314b618,2022-09-15T07:58:58.115Z,hourly,2022-09-15T07:59:18.250Z
6322dcb5da207aecda9c830e,manual,2022-09-15T08:05:09.090Z,,,,,,,,,,,,,,,,,,,,63186da5a505031fc7fc2546,2022-09-15T08:05:07.990Z,6322dcb5da207aecda9c830d,2022-09-15T08:05:05.523Z,1,2022-09-15T08:04:50.341Z,1,2022-09-15T08:04:24.412Z,2,2022-09-15T08:04:30.511Z,5,6318dea612223a195314b5ff,2022-09-15T08:03:49.569Z,hourly,2022-09-15T08:05:09.090Z
